Code,MainCost,Debt,AverageConsume,Target
1163091,38602,0,6.5625,Low
1190730,159805,0,5.744680851,Low
112166,322308,833445,11.4,Low
1166969,1749032,991766,24.44444444,High
1126845,425047,0,14.375,Low
1155175,450425,204762,22.17391304,High
11124283,925751,0,18.26086957,Low
11116318,2174223,654883,26.44067797,High
11136548,472994,844870,22.04081633,Moderate
11154353,120429,1048600,1.2,Low
1191347,0,294138,5.052631579,Low
11135345,163000,0,5.25,Low
11153852,158524,0,7.777777778,Low
11104378,1499727,359015,34.56521739,High
1160582,1046410,0,21.25,High
11144516,168685,0,11.73913043,Low
11157392,112000,507068,0.0,Low
11147216,372744,844933,14.63414634,Low
1112409,281593,0,10.2,Low
1196164,1199970,1808069,19.03846154,Moderate
11143358,476727,610070,20.0,Low
118706,2210859,0,25.8,High
11152879,388388,0,19.44444444,Low
1197597,217985,833630,4.736842105,Low
11143747,1240720,3291296,21.92307692,Moderate
11149204,214785,0,7.5,Low
11103703,480458,0,11.53846154,Low
11144708,2263149,0,25.47169811,High
1192983,128248,287651,5.643564356,Low
1111179,242477,279620,16.53061224,Low
1159111,1295983,0,8.842105263,Low
1121170,332289,0,8.653846154,Low
1116230,245976,0,9.375,Low
1197629,0,644710,10.53191489,Low
1115213,561509,0,16.8,Low
1112298,3511773,1922008,31.25,High
1141975,0,0,15.95744681,Low
11143988,0,0,0.0,Low
11152511,120702,0,2.553191489,Low
1168226,805583,0,16.15384615,Low
1139687,1307334,0,19.8,High
1177582,121333,0,0.0,Low
1136430,1133947,0,22.17391304,High
1153093,0,1714566,3.75,Low
11154357,120429,998245,1.2,Low
1194245,299073,0,4.038461538,Low
1116371,3944808,0,28.42105263,High
1187021,431661,752305,11.4893617,Low
111757,2356155,0,12.5,Low
1152046,284875,0,7.5,Low
1134352,499942,0,19.41176471,Low
1137740,1028176,0,28.7755102,High
11145829,517747,1723225,16.59574468,Moderate
1199106,832836,0,7.6,Low
1110013,161876,0,3.829787234,Low
1168630,454870,0,13.88888889,Low
11117366,175825,0,4.375,Low
1140036,228987,273276,8.936170213,Low
11153867,1193118,0,24.69230769,High
11113386,670961,0,14.42307692,Low
1115700,2935352,212294,28.26923077,High
11143321,0,0,5.3125,Low
11107060,84551,1230955,5.179856115,Low
1166213,263708,0,6.923076923,Low
1125284,2083475,1596068,25.625,Moderate
1121168,480458,0,11.53846154,Low
11154301,140227,912756,0.0,Low
119818,4766465,0,23.45454545,High
1178438,3060200,1546751,25.53191489,High
1139677,109667,166297,0.0,Low
11150260,333298,0,8.823529412,Low
116218,368609,387886,15.83333333,Low
11158010,1847010,0,23.57142857,High
11102973,541632,0,20.86956522,Low
11132229,133000,443782,0.0,Low
1127048,408744,655205,17.68421053,Low
1163482,1014967,0,26.21052632,High
1158781,567968,2058011,16.11111111,Moderate
11122640,1339461,0,22.22222222,High
1122303,1625887,361383,21.70212766,High
1185275,0,927803,1.2,Low
1185471,122677,580704,7.164179104,Low
11134189,2000289,2349202,22.5,Moderate
1183315,199597,0,7.2,Low
1177372,1188262,0,25.57894737,High
1142637,890072,0,21.2195122,High
